address,category,id,lat,lng,location,name,originalId,polarity,subCategory
Piazza di Pasquino,poi,244,41.897832155228,12.471773,Rome,Statua di Pasquino,4adcdac6f964a520275321e3,0,Monument / Landmark
Piazza del Quirinale,poi,247,41.899391649963,12.486595090448,Rome,Palazzo del Quirinale,4adcdac6f964a5202a5321e3,0,Monument / Landmark
Via della Domus Aurea,poi,249,41.890998048112,12.496798359711,Rome,Domus Aurea,4adcdac6f964a5202c5321e3,0,Monument / Landmark
Piazza San Giovanni in Laterano,poi,250,41.886975754567,12.506470467383,Rome,Scala Santa,4adcdac6f964a5202d5321e3,0,Monument / Landmark
280/282 Via delle Sette Chiese,poi,254,41.858924566863,12.505473535976,Rome,Catacombe di Domitilla,4adcdac6f964a520315321e3,0,Monument / Landmark
Via Salaria 430,poi,255,41.929711621527,12.508783605773,Rome,Catacombe di Priscilla,4adcdac6f964a520325321e3,0,Monument / Landmark
Piazza Colonna,poi,259,41.90083,12.48,Rome,Colonna di Marco Aurelio,4adcdac6f964a5203a5321e3,0,Monument / Landmark
Piazza della Bocca della Verità,poi,263,41.888815510125,12.481269816898,Rome,Foro Boario,4adcdac6f964a520405321e3,0,Historic Site
Via Ardeatina  174,poi,266,41.859077535285,12.510855948682,Rome,Fosse Ardeatine,4adcdac6f964a520435321e3,0,Monument / Landmark
Via dei Coronari,poi,272,41.900488306067,12.46973991394,Rome,Via dei Coronari,4adcdac6f964a5204c5321e3,0,Monument / Landmark
Via del Governo Vecchio,poi,273,41.898129374139,12.470720798676,Rome,Via del Governo Vecchio,4adcdac6f964a5204d5321e3,0,Road
274 Porta Maggiore Italy,poi,Rome,41.891826,12.515182
Via Vittorio Veneto,poi,275,41.906445237665,12.490231990814,Rome,Via Veneto,4adcdac6f964a5204f5321e3,0,Road
Via Margutta,poi,276,41.908268750296,12.479797151104,Rome,Via Margutta,4adcdac6f964a520525321e3,0,Road
Via Nomentana,poi,279,41.958065131488,12.579208244344,Rome,Ponte Nomentano,4adcdac6f964a520555321e3,0,Monument / Landmark
9 Via di San Sebastiano,poi,280,41.875671200561,12.500578616969,Rome,Il Sepolcro degli Scipioni,4adcdac6f964a520575321e3,0,Monument / Landmark
Piazza dei Tribuni,poi,281,41.866531,12.546809,Rome,Monte del Grano (Il),4adcdac6f964a5205c5321e3,0,Monument / Landmark
